Reservation_No,DateMade_Short,Arrive_Date_Short,Nights,TotalRate,Room Type,Room,City,State,Zip Code,Rate_Type
1445,25/10/2016,25/10/2016,1,78,Double ,209,Philadelphia,PA,19136,Best Available Rate
1446,25/10/2016,17/11/2016,1,78,Double ,210,Chicago,IL,60656,Best Available Rate
1447,25/10/2016,4/11/2016,3,190.03,King,201,Bellevue,,98004,Expedia
1448,26/10/2016,26/10/2016,1,78.01,Double ,206,Verbier,,1936,Booking.com
1449,26/10/2016,1/11/2016,5,430,Double ,101,Berwyn,Illinois,60402,Best Available Rate
1453,26/10/2016,28/10/2016,1,98.01,Double ,106,Safety Harbor,,34695,Booking.com
1455,26/10/2016,9/11/2016,1,118,King,202,Naples,FL,34105,Best Available Rate
1457,27/10/2016,28/03/2017,7,587.32,King,212,Bellevue,,98004,Expedia
1458,27/10/2016,31/10/2016,2,197,Premier King,110,Hinesville,GA,31313,Best Available Rate
1552,4/11/2016,5/11/2016,1,118,Upscale King,112,Tampa,FL,33617,Best Available Rate
1460,27/10/2016,5/11/2016,1,88,Double ,104,Bradenton,FL,34205,Best Available Rate
1461,27/10/2016,27/10/2016,1,66.01,Double ,104,Bellevue,,98004,Expedia
1463,27/10/2016,2/11/2016,1,83,Double ,106,WATERTOWN,,2472,Booking.com
1464,28/10/2016,18/03/2017,1,87.75,Double ,206,Bellevue,,98004,Expedia
1466,28/10/2016,4/11/2016,1,93,Double ,104,Lincoln,,2865,Booking.com
1467,28/10/2016,28/10/2016,1,108,Double ,104,,,,Best Available Rate
1468,28/10/2016,2/11/2016,2,166,Premier King,110,HAWTHORNE,,,Booking.com
1469,28/10/2016,28/10/2016,1,78,Double ,108,,,,Best Available Rate
1471,29/10/2016,4/5/2017,2,178.5,King,103,Bellevue,,98004,Expedia
1475,29/10/2016,29/10/2016,1,118,Upscale King,112,Windermere,FL,34786,Best Available Rate
1477,29/10/2016,30/10/2016,1,78,Double ,209,Haines city,Fl,33844,Best Available Rate
1479,30/10/2016,30/10/2016,1,94,Upscale Jacuzzi King,111,,,,Best Available Rate
1482,30/10/2016,30/10/2016,2,124.5,Double ,210,Bellevue,,98004,Expedia
1483,30/10/2016,14/02/2017,1,0,Double ,208,Smyrna,GA,30080,Best Available Rate
1487,31/10/2016,31/10/2016,1,83,Upscale King,112,Bjarnum,,,Booking.com
1488,31/10/2016,31/10/2016,1,83,Double ,206,Orlando,FL,32821,Booking.com
1490,31/10/2016,31/10/2016,1,83,Double ,208,Gainesville,FL,32603,Booking.com
1492,1/11/2016,9/11/2016,2,246,Double ,104,Cleveland Heights,,44118,Booking.com
1493,1/11/2016,1/11/2016,1,62.25,Double ,106,Bellevue,,98004,Expedia
1502,1/11/2016,1/11/2016,1,78,King,201,Hollywood,FL,33019,Best Available Rate
1503,1/11/2016,1/11/2016,1,62.25,Double ,208,Lakeland,FL,33811,Expedia
1505,1/11/2016,1/11/2016,1,62.25,Premier King,105,Lakeland,FL,33812,Expedia
1507,1/11/2016,29/11/2016,2,124.5,Upscale Jacuzzi King,111,Bethesda,MD,20816,Expedia
1508,1/11/2016,29/11/2016,2,124.5,King,201,Bellevue,,98004,Expedia
1510,1/11/2016,29/11/2016,2,124.5,Premier King,110,Bellevue,,98004,Expedia
1511,1/11/2016,1/11/2016,1,83,Double ,206,Huber Heights,OH,45424,Booking.com
1514,1/11/2016,1/11/2016,1,78,King,212,Miramar,FL,33023,Best Available Rate
1515,1/11/2016,3/11/2016,1,83,Double ,104,New Orleans,,70115,Booking.com
1517,1/11/2016,1/11/2016,1,78,Double ,104,,,,Best Available Rate
1518,1/11/2016,1/11/2016,1,88,Upscale King,112,,,,Best Available Rate
1519,2/11/2016,16/12/2016,1,103,King,204,Fort Myers,,33919,Booking.com
1520,2/11/2016,14/01/2017,2,168.75,King,212,Bellevue,,98004,Expedia
1521,2/11/2016,3/11/2016,1,62.25,Double ,206,Bellevue,,98004,Expedia
1522,2/11/2016,9/2/2017,1,114.75,Double ,209,Bellevue,,98004,Expedia
1523,2/11/2016,11/11/2016,3,414,Sweetheart King,102,Crestwood,IL,60445,Best Available Rate
1524,2/11/2016,19/11/2016,1,98,Double ,209,Corpus Christi,TX,78412,Best Available Rate
1525,2/11/2016,2/11/2016,1,83,Double ,209,Walchsee,,6344,Booking.com
1526,2/11/2016,3/11/2016,1,83,Double ,106,DeLand,,32724,Booking.com
1532,2/11/2016,3/11/2016,2,176,King,212,Jacksonville,,,Booking.com
1541,3/11/2016,4/11/2016,1,88,Premier King,105,Bradenton,,,Best Available Rate
1531,2/11/2016,2/11/2016,1,78,Double ,108,,,,Best Available Rate
1533,2/11/2016,3/11/2016,1,94,Sweetheart King,102,Land O Lakes,FL,34639,Best Available Rate
1534,2/11/2016,9/12/2016,2,154.5,Double ,206,Bellevue,,98004,Expedia
1535,2/11/2016,3/11/2016,1,94,Upscale King,112,,,,Best Available Rate
1537,3/11/2016,25/03/2017,6,492.75,Double ,104,Bellevue,,98004,Expedia
1538,3/11/2016,25/03/2017,6,492.75,Double ,208,Bellevue,,98004,Expedia
1539,3/11/2016,25/03/2017,6,492.75,Double ,108,Bellevue,,98004,Expedia
2041,25/12/2016,6/5/2017,1,127,Premier King,110,Saint Augustine,Florida,32086,Best Available Rate
1545,3/11/2016,6/11/2016,1,94,Sweetheart King,102,Bradenton,Fl,34209,Best Available Rate
1546,3/11/2016,4/11/2016,2,176,Sweetheart King,102,,,,Best Available Rate
1549,4/11/2016,3/11/2016,3,269,King,203,,,,Booking.com
2759,8/2/2017,15/02/2017,1,138,Sweetheart King,102,zephyrhills,Florida,33540,Best Available Rate
1556,4/11/2016,5/1/2017,1,154,Sweetheart King,102,,,,Best Available Rate
1557,5/11/2016,5/11/2016,1,103,Double ,206,Köniz,,3098,Booking.com
1561,6/11/2016,6/11/2016,2,166,King,202,جده,,5463545,Booking.com
1625,13/11/2016,13/11/2016,1,0,Premier King,110,Indianapolis,,,Best Available Rate
1563,6/11/2016,7/11/2016,1,78,Sweetheart King,102,Orlando,FL,32805,Best Available Rate
1564,6/11/2016,27/12/2016,3,209.25,Double ,208,Charlottesville,Va,22901,Expedia
12282,20/12/2018,19/02/2019,9,702,King,201,,,,Best Available Rate
1566,7/11/2016,8/11/2016,1,62.25,Premier King,105,Maitland,FL,32761,Expedia
1567,7/11/2016,12/11/2016,1,189,Upscale King,112,,,,Best Available Rate
1874,8/12/2016,9/12/2016,2,108,King,204,,,,Best Available Rate
1569,7/11/2016,11/1/2017,3,249.75,King,103,Bellevue,,98004,Expedia
1571,7/11/2016,12/11/2016,0,158,Premier King,105,Palmetto,FL,34221,Best Available Rate
1574,7/11/2016,12/11/2016,11,1113,King,203,North Sydney,,2060,Booking.com
1577,8/11/2016,26/03/2017,4,432,Double ,206,南京,,210096,Booking.com
1578,8/11/2016,26/03/2017,4,432,Double ,101,Nanjing,,210096,Booking.com
1580,8/11/2016,13/11/2016,2,139.5,King,107,Bellevue,,98004,Expedia
1581,8/11/2016,11/1/2017,3,249.75,Double ,108,Bellevue,,98004,Expedia
1582,8/11/2016,10/1/2017,7,739,Premier King,110,,,,Best Available Rate
1768,30/11/2016,11/12/2016,4,276,Double ,109,,,,Best Available Rate
1591,8/11/2016,8/11/2016,1,70.2,Double ,109,,,,Best Available Rate
1592,8/11/2016,15/11/2016,2,212,Sweetheart King,102,North Miami Beach,FL,33179,Best Available Rate
1594,9/11/2016,12/11/2016,1,153,Double ,101,Lulea,,972 42,Booking.com
1597,10/11/2016,12/11/2016,1,138,King,202,,,,Best Available Rate
1598,10/11/2016,10/12/2016,2,77.25,Premier King,105,Bellevue,,98004,Expedia
1599,10/11/2016,23/11/2016,3,259,King,103,Pompano Beach,,33065,Booking.com
1600,10/11/2016,16/12/2016,1,77.25,King,201,Bellevue,,98004,Expedia
1601,10/11/2016,11/11/2016,1,148,Upscale King,112,,,,Best Available Rate
1602,10/11/2016,10/11/2016,2,138,Double ,101,,,,Best Available Rate
1606,11/11/2016,13/11/2016,1,83,King,201,Berlin,,13353,Booking.com
1607,11/11/2016,13/11/2016,3,234,Premier King,105,,,,Best Available Rate
1610,11/11/2016,11/11/2016,1,109,Double ,209,,,,Best Available Rate
1611,11/11/2016,11/11/2016,1,69,King,202,,,,Best Available Rate
1612,12/11/2016,11/11/2016,1,109,King,203,,,,Best Available Rate
1613,12/11/2016,14/11/2016,1,94,Upscale King,112,Port Charlotte,Florida,33954,Best Available Rate
1614,13/11/2016,18/11/2016,2,176,Premier King,105,Dallas,TX,75219,Best Available Rate
1615,13/11/2016,16/11/2016,2,156,Double ,208,Satellite Beach,FL,32937,Best Available Rate
1616,13/11/2016,17/11/2016,1,79,King,201,Satellite Beach,FL,32937,Best Available Rate
1699,21/11/2016,21/11/2016,1,80.86,King,212,,,,Best Available Rate
1620,13/11/2016,13/11/2016,1,78,Double ,106,,,,Best Available Rate
1622,13/11/2016,1/2/2017,4,494,Upscale Jacuzzi King,111,,,,Best Available Rate
1624,13/11/2016,13/11/2016,2,156,Double ,104,,,,Best Available Rate
1626,13/11/2016,3/12/2016,1,111,Premier King,110,Palm Harbor,FL,34684,Best Available Rate
1627,13/11/2016,14/11/2016,1,83,Double ,208,Seelze,,30926,Booking.com
1629,13/11/2016,14/11/2016,2,166,Double ,206,Winter Haven,FL,33880,Booking.com
1630,14/11/2016,14/11/2016,2,166,King,201,Galveston,,77550,Booking.com
1631,14/11/2016,16/11/2016,1,62.25,Premier King,110,Bellevue,,98004,Expedia
1632,14/11/2016,18/11/2016,2,176,Double ,210,,,,Best Available Rate
1633,14/11/2016,14/11/2016,1,62.25,Double ,101,Jacksonville,FL,32250,Expedia
6546,6/12/2017,11/1/2018,2,276,King,107,,,,Best Available Rate
1639,15/11/2016,15/11/2016,1,78,King,107,Ormond Beach,FL,32174,Best Available Rate
1858,7/12/2016,21/12/2016,7,345,King,202,,,,Best Available Rate
1641,16/11/2016,19/11/2016,1,69.75,King,103,Bellevue,,98004,Expedia
2020,23/12/2016,27/12/2016,4,279,Double ,101,,,,Best Available Rate
1645,16/11/2016,16/11/2016,1,62.25,Double ,206,Bellevue,,98004,Expedia
1646,16/11/2016,14/01/2017,2,251,Double ,108,,,,Best Available Rate
1647,16/11/2016,14/01/2017,2,195.75,King,103,Bellevue,,98004,Expedia
1651,16/11/2016,25/11/2016,2,139.5,Double ,210,Bellevue,,98004,Expedia
1652,17/11/2016,14/01/2017,2,251,Double ,109,,,,Best Available Rate
1654,17/11/2016,17/11/2016,1,62.25,King,103,Bellevue,,98004,Expedia
1655,17/11/2016,17/11/2016,1,62.25,Premier King,110,Bellevue,,98004,Expedia
1656,17/11/2016,17/11/2016,1,62.25,Double ,206,Bellevue,,98004,Expedia
1657,17/11/2016,25/11/2016,1,69.75,Double ,104,Bellevue,,98004,Expedia
1658,17/11/2016,25/11/2016,1,69.75,Double ,206,Bellevue,,98004,Expedia
7905,24/02/2018,6/3/2018,1,108,King,107,Jacksonville,FL,32207,Best Available Rate
1661,17/11/2016,17/11/2016,1,94,Upscale Jacuzzi King,111,,,,Best Available Rate
1670,18/11/2016,18/11/2016,1,88,Double ,108,,,,Best Available Rate
3016,24/02/2017,24/02/2017,1,148,Sweetheart King,102,,,,Best Available Rate
1672,18/11/2016,18/11/2016,1,106,Upscale Jacuzzi King,111,,,,Best Available Rate
1675,18/11/2016,1/3/2017,1,81,Double ,108,Bellevue,,98004,Expedia
1678,19/11/2016,20/02/2017,2,169.51,Double ,210,Bellevue,,98004,Expedia
1679,19/11/2016,19/11/2016,1,88,Double ,108,,,,Best Available Rate
1680,19/11/2016,19/11/2016,1,69.75,Double ,208,Bellevue,,98004,Expedia
1682,19/11/2016,21/11/2016,3,234,Double ,108,Ellijay,GA,30540,Best Available Rate
1683,19/11/2016,9/2/2017,1,182.25,King,103,Bellevue,,98004,Expedia
1684,20/11/2016,20/11/2016,1,62.25,Double ,101,Bellevue,,98004,Expedia
1686,20/11/2016,16/03/2017,2,215,Double ,104,Toronto,ON,M5V 3Y9,Best Available Rate
1687,20/11/2016,20/11/2016,1,78,Double ,104,,,,Best Available Rate
1865,7/12/2016,16/12/2016,6,345,Double ,106,Owasso,OK,74055,Best Available Rate
1700,21/11/2016,8/12/2016,3,276.75,Double ,104,Bellevue,,98004,Expedia
1704,22/11/2016,25/11/2016,1,69.75,King,201,Bellevue,,98004,Expedia
1705,22/11/2016,25/11/2016,1,69.75,King,203,Bellevue,,98004,Expedia
1706,22/11/2016,31/12/2016,1,174.75,Premier King,110,Bellevue,,98004,Expedia
1707,22/11/2016,22/11/2016,1,94,Sweetheart King,102,Augusta,GA,30905,Best Available Rate
1711,23/11/2016,28/11/2016,1,83,King,103,Jupiter,,33477,Booking.com
1712,23/11/2016,12/1/2017,1,153,Double ,104,merritt island,,32952,Booking.com
1716,23/11/2016,25/11/2016,1,79.2,Upscale King,112,,,,Best Available Rate
1717,23/11/2016,23/11/2016,1,79,Double ,101,,,,Best Available Rate
1721,25/11/2016,20/02/2017,2,169.5,Double ,104,Bellevue,,98004,Expedia
1722,25/11/2016,25/11/2016,2,176,Premier King,110,Boynton Beach,Florida,33436,Best Available Rate
1724,25/11/2016,2/2/2017,2,162,King,205,Bellevue,,98004,Expedia
1725,25/11/2016,26/03/2017,5,715,Premier King,105,茨城県つくば市,,3050041,Booking.com
1726,26/11/2016,26/11/2016,2,106,Double ,104,Bellevue,,98004,Expedia
1727,26/11/2016,26/11/2016,1,73,Double ,108,Leipzig,,4299,Booking.com
1728,26/11/2016,26/11/2016,1,68,King,103,,,,Best Available Rate
1729,26/11/2016,26/11/2016,1,68,Double ,206,,,,Best Available Rate
1731,26/11/2016,26/11/2016,1,82,Sweetheart King,102,,,,Best Available Rate
1732,26/11/2016,3/12/2016,1,69.75,Double ,104,Bellevue,,98004,Expedia
1734,26/11/2016,17/12/2016,1,98,King,203,pbg,fl,33410,Best Available Rate
1735,27/11/2016,27/11/2016,1,68,King,107,,,,Best Available Rate
1738,27/11/2016,27/11/2016,1,68,King,204,,,,Best Available Rate
1739,27/11/2016,27/11/2016,1,73,King,207,Plant city,,,Booking.com
1740,27/11/2016,3/3/2017,2,186,King,207,Bellevue,,98004,Expedia
1743,28/11/2016,2/12/2016,1,69.75,King,103,Bellevue,,98004,Expedia
1746,28/11/2016,17/02/2017,2,229.5,Double ,108,Bellevue,,98004,Expedia
1748,28/11/2016,10/12/2016,1,99.75,Upscale King,112,Bellevue,,98004,Expedia
1749,28/11/2016,2/12/2016,1,99,Sweetheart King,102,,,,Best Available Rate
1750,28/11/2016,1/12/2016,3,201.75,Premier King,105,Bellevue,,98004,Expedia
1751,29/11/2016,1/12/2016,1,78,Upscale Jacuzzi King,111,,,,Best Available Rate
1752,29/11/2016,18/02/2017,1,114.75,Double ,206,Bellevue,,98004,Expedia
1753,29/11/2016,29/11/2016,1,78,King,203,Sebring,FL,33870,Best Available Rate
1902,10/12/2016,13/12/2016,6,528,King,212,Tampa,Fl,33606,Best Available Rate
1755,29/11/2016,8/1/2017,6,928,King,204,Dublin 6,,-,Booking.com
1756,29/11/2016,11/1/2017,2,251,Double ,206,,,,Best Available Rate
1758,29/11/2016,29/11/2016,1,78,Double ,206,,,,Best Available Rate
1759,29/11/2016,5/12/2016,1,83,Upscale Jacuzzi King,111,Kissimmee,FL,34758,Booking.com
2593,29/01/2017,29/01/2017,1,78,Double ,206,Bayonne,NJ,7002,Best Available Rate
1761,29/11/2016,31/12/2016,1,238,Upscale King,112,New Port Richey,FL,34653,Best Available Rate
1762,30/11/2016,16/12/2016,1,98,Double ,109,Bonita Springs,FL,34134,Best Available Rate
1763,30/11/2016,14/02/2017,1,133,Double ,206,Palm Coast,,32164,Booking.com
1764,30/11/2016,31/12/2016,1,228,Double ,101,,,,Best Available Rate
1765,30/11/2016,11/1/2017,3,399,Double ,209,Naples,FL,34102,Best Available Rate
1766,30/11/2016,5/4/2017,5,418.5,Double ,108,Bellevue,,98004,Expedia
1767,30/11/2016,20/02/2017,2,226,King,103,Miami,,33183,Booking.com
1769,1/12/2016,4/12/2016,12,1060,King,107,Singapore,,338729,Booking.com
1770,1/12/2016,1/12/2016,1,53,King,103,Bellevue,,98004,Expedia
1771,1/12/2016,1/12/2016,1,53,King,203,Bellevue,,98004,Expedia
1785,2/12/2016,2/12/2016,1,68,Double ,104,,,,Best Available Rate
1778,2/12/2016,3/1/2017,1,93,Double ,109,Frankfurt,,60489,Booking.com
1784,2/12/2016,15/03/2017,3,333,Double ,101,Jacksonville,FL,32258,Best Available Rate
1786,2/12/2016,26/02/2017,1,114.75,King,204,Bellevue,,98004,Expedia
1787,2/12/2016,15/12/2016,3,269,Premier King,105,Tampa,,33605,Booking.com
1788,2/12/2016,5/1/2017,1,99.75,Premier King,110,Bellevue,,98004,Expedia
1791,2/12/2016,2/12/2016,1,62.25,Double ,206,Bellevue,,98004,Expedia
1792,2/12/2016,3/12/2016,1,83,King,103,Kuopio,,71360,Booking.com
1793,2/12/2016,2/12/2016,1,83,King,107,SP,,,Booking.com
1804,3/12/2016,3/12/2016,1,0,King,204,Bellevue,,98004,Comped Rate
1795,2/12/2016,1/1/2017,1,99,Sweetheart King,102,Bradenton,Fl,34210,Best Available Rate
1796,2/12/2016,3/12/2016,1,78,King,207,,,,Best Available Rate
1797,2/12/2016,2/12/2016,1,70.2,King,201,,,,Best Available Rate
1798,3/12/2016,10/12/2016,7,480.75,Double ,209,Bellevue,,98004,Expedia
1799,3/12/2016,4/2/2017,4,452,Double ,108,Utzenstorf,,3427,Booking.com
1800,3/12/2016,9/12/2016,2,177,Premier King,110,Bellevue,,98004,Expedia
1801,3/12/2016,17/12/2016,1,69.75,King,107,Bellevue,,98004,Expedia
1802,3/12/2016,3/12/2016,1,78,Double ,106,,,,Best Available Rate
1803,3/12/2016,28/01/2017,1,172.5,King,103,Bellevue,,98004,Expedia
1806,4/12/2016,9/12/2016,1,118,Sweetheart King,102,,,,Best Available Rate
1812,4/12/2016,7/12/2016,2,162,Double ,206,,,,Best Available Rate
1814,4/12/2016,28/12/2016,2,156,Double ,109,Thornhill,Ontario,L4J3C4,Best Available Rate
1815,4/12/2016,14/01/2017,2,261,Double ,210,ORLANDO,,32817,Booking.com
1819,4/12/2016,8/1/2017,2,524,Sweetheart King,102,,,,Best Available Rate
1820,4/12/2016,1/1/2017,2,182,King,205,Humboldt,,,Booking.com
1823,5/12/2016,9/3/2017,3,342,Double ,206,Maumee,,43537,Booking.com
1824,5/12/2016,5/1/2017,1,115.2,King,207,,,,Best Available Rate
2064,27/12/2016,27/12/2016,4,272,King,207,Rex,GA,30273,Best Available Rate
1843,6/12/2016,6/12/2016,2,148,King,204,Vilonia,AR,72173,Best Available Rate
1828,5/12/2016,1/1/2017,1,66.75,Double ,206,Bellevue,,98004,Expedia
1921,13/12/2016,1/1/2017,5,346,King,204,Sanford,FL,32771,Best Available Rate
1830,5/12/2016,24/01/2017,1,114,Upscale Jacuzzi King,111,Cork,,T12 VH74,Booking.com
1834,5/12/2016,31/12/2016,4,508,Double ,108,Washington,,,Booking.com
1835,5/12/2016,17/12/2016,1,69.75,Double ,209,Bellevue,,98004,Expedia
1838,6/12/2016,9/4/2017,1,108,Double ,106,.Vantaa,,1260,Booking.com
1841,6/12/2016,12/1/2017,1,173,Upscale Jacuzzi King,111,plano,,75074,Booking.com
1844,6/12/2016,6/12/2016,1,74,Upscale King,112,Jupiter,FL,33458,Best Available Rate
2664,2/2/2017,2/2/2017,1,98,Upscale King,112,,,,Best Available Rate
1852,6/12/2016,2/1/2017,1,88,Double ,206,Andrews,NC,28901,Best Available Rate
1853,6/12/2016,26/01/2017,1,81,Double ,101,Bellevue,,98004,Expedia
1854,7/12/2016,7/12/2016,1,59,King,201,Bellevue,,98004,Expedia
1855,7/12/2016,18/01/2017,3,255,King,202,Bellevue,,98004,Expedia
1859,7/12/2016,7/12/2016,1,79,King,103,Tampa,,33625,Booking.com
1861,7/12/2016,11/1/2017,3,444,Upscale King,211,,,,Best Available Rate
1862,7/12/2016,9/12/2016,1,93,Upscale King,112,the Villages,,32163,Booking.com
1863,7/12/2016,7/12/2016,1,84,Premier King,110,Toronto,Ontario,M4M2z8,Best Available Rate
1867,7/12/2016,7/12/2016,1,89,Upscale King,112,,,,Best Available Rate
1870,8/12/2016,15/12/2016,1,78,Premier King,110,Toledo,Oregon,97391,Best Available Rate
1872,8/12/2016,14/12/2016,1,78,King,204,,,,Best Available Rate
1873,8/12/2016,9/12/2016,1,106,Upscale Jacuzzi King,111,Riverdale,GA,30274,Best Available Rate
1880,9/12/2016,9/12/2016,1,79.2,Premier King,105,,,,Best Available Rate
1935,14/12/2016,15/12/2016,1,83,Upscale King,211,Crickhowell,David Lawrence,NP8 1ET,Best Available Rate
1881,9/12/2016,15/12/2016,2,186,King,203,Panama City Beach,FL,32413,Best Available Rate
1883,9/12/2016,9/12/2016,1,0,Double ,209,,,,Best Available Rate
1884,9/12/2016,15/12/2016,1,69.75,King,204,Bellevue,,98004,Expedia
1888,9/12/2016,19/02/2017,1,115.2,Upscale King,112,Washington,DC,20002,Best Available Rate
1889,9/12/2016,3/1/2017,1,69.75,Double ,106,Kissimmee,FL,34746,Expedia
1892,9/12/2016,26/12/2016,2,124.49,Double ,109,Philadelphia,PA,19128,Expedia
1893,9/12/2016,1/1/2017,2,136.5,Double ,210,Bellevue,,98004,Expedia
1894,10/12/2016,18/02/2017,1,153,Double ,104,London,,N10 3HT,Booking.com
1895,10/12/2016,15/12/2016,1,88,King,201,Gilwern,Abergavenny,NP70EA,Best Available Rate
1896,10/12/2016,10/12/2016,1,88,King,203,,,,Best Available Rate
2139,1/1/2017,1/1/2017,2,183,Double ,104,davenport,,,Booking.com
1901,10/12/2016,5/2/2017,1,84.75,Premier King,105,Bellevue,,98004,Expedia
1905,11/12/2016,11/12/2016,1,94,Sweetheart King,102,,,,Best Available Rate
1906,11/12/2016,18/02/2017,1,114.75,Double ,109,Bellevue,,98004,Expedia
1908,11/12/2016,10/3/2017,2,175.5,Double ,109,Bellevue,,98004,Expedia
1913,11/12/2016,11/12/2016,1,78,King,204,,,,Best Available Rate
1915,12/12/2016,9/3/2017,1,85.5,Premier King,110,Bellevue,,98004,Expedia
1917,12/12/2016,25/02/2017,1,122.25,King,107,Bellevue,,98004,Expedia
1918,12/12/2016,17/12/2016,1,77.25,King,204,Bellevue,,98004,Expedia
1919,13/12/2016,20/01/2017,3,276.75,Double ,108,Bellevue,,98004,Expedia
1920,13/12/2016,17/12/2016,2,199,Premier King,110,cedar hill,Texas,75104,Best Available Rate
1922,13/12/2016,13/12/2016,1,78,King,203,Charlotte,NC,28216,Best Available Rate
1923,13/12/2016,2/3/2017,4,407.25,King,103,Bellevue,,98004,Expedia
1924,13/12/2016,31/12/2016,1,122.25,Double ,106,Bellevue,,98004,Expedia
1926,14/12/2016,6/1/2017,2,408,Premier King,110,Charleston,SC,29403,Best Available Rate
1927,14/12/2016,5/4/2017,2,216,Double ,206,Devon,,Ex96rn,Booking.com
1928,14/12/2016,5/2/2017,2,207,King,205,Bellevue,,98004,Expedia
1929,14/12/2016,15/03/2017,3,299.25,Double ,106,Bellevue,,98004,Expedia
1932,14/12/2016,31/12/2016,1,163,Upscale King,211,stuart,,34997,Booking.com
1933,14/12/2016,27/12/2016,1,98,Upscale Jacuzzi King,111,Gainesville,Florida,32609,Best Available Rate
1934,14/12/2016,31/12/2016,1,163,King,202,Cleveland,,44102,Booking.com
1937,15/12/2016,20/12/2016,2,124.5,Double ,206,Bellevue,,98004,Expedia
1940,15/12/2016,15/12/2016,1,83,Double ,104,Miami,,33142,Booking.com
1949,15/12/2016,16/12/2016,1,69.75,Double ,206,Bellevue,,98004,Expedia
1942,16/12/2016,30/12/2016,1,88,King,205,Fair Lawn,NJ,7410,Best Available Rate
15244,16/08/2019,16/08/2019,1,78,Premier King,105,,,,Best Available Rate
1944,16/12/2016,17/12/2016,2,192,Upscale Jacuzzi King,111,,,,Best Available Rate
1946,16/12/2016,16/12/2016,4,384,Upscale King,112,,,,Best Available Rate
1950,16/12/2016,17/12/2016,1,88,Double ,104,,,,Best Available Rate
1951,17/12/2016,11/3/2017,1,93,King,202,Bellevue,,98004,Expedia
1954,17/12/2016,1/1/2017,1,148,Premier King,110,sarasota,fl,34231,Best Available Rate
1955,17/12/2016,30/12/2016,4,567,Upscale Jacuzzi King,111,North Myrtle Beach,SC,29582,Best Available Rate
1957,17/12/2016,31/12/2016,1,158,King,204,,,,Best Available Rate
1958,17/12/2016,31/12/2016,1,189,Sweetheart King,102,North Fort Myers,FL,33903,Best Available Rate
1961,19/12/2016,6/2/2017,4,526.5,King,202,Bellevue,,98004,Expedia
1962,19/12/2016,6/2/2017,4,526.5,King,203,Bellevue,,98004,Expedia
1963,19/12/2016,16/01/2017,2,184.5,King,202,Bellevue,,98004,Expedia
1987,20/12/2016,20/12/2016,1,65,Upscale Jacuzzi King,111,Memphis,TN,38120,Best Available Rate
1973,19/12/2016,20/12/2016,1,72,Upscale King,112,Tallahassee,FL,32304,Best Available Rate
1974,19/12/2016,28/01/2017,1,172.5,Premier King,105,Bellevue,,98004,Expedia
1975,19/12/2016,27/01/2017,2,390,Double ,106,Bellevue,,98004,Expedia
1976,19/12/2016,20/12/2016,1,57,King,203,Tampa,FL,33611,Expedia
1977,19/12/2016,20/12/2016,1,57,King,204,New Port Richey,FL,34653,Expedia
1978,20/12/2016,20/12/2016,2,114,Premier King,105,Bellevue,,98004,Expedia
1979,20/12/2016,11/2/2017,1,148,King,202,Jackson,MS,39202,Best Available Rate
1980,20/12/2016,23/03/2017,1,108,King,203,Port Charlotte,,,Booking.com
1982,20/12/2016,20/12/2016,1,72,King,212,Winter Garden,Fl,34787,Best Available Rate
2031,24/12/2016,25/12/2016,1,78,Premier King,110,,,,Best Available Rate
2112,29/12/2016,29/12/2016,2,164,Upscale King,112,Tampa,FL,33626,Best Available Rate
1985,20/12/2016,31/12/2016,1,141,Double ,210,,,,Best Available Rate
1988,20/12/2016,29/12/2016,5,399,King,203,Bellevue,,98004,Expedia
1989,20/12/2016,31/12/2016,1,158,Double ,104,Palm Harbor,FL,34685,Best Available Rate
1990,21/12/2016,5/2/2017,2,276,Double ,206,Belo Horizonte,,30315450,Booking.com
1991,21/12/2016,28/12/2016,1,186, , ,miami,,33143,Booking.com
1994,21/12/2016,29/12/2016,1,99,Upscale Jacuzzi King,111,Odessa,Fl,33556,Best Available Rate
1996,21/12/2016,21/12/2016,7,345,King,212,,,,Best Available Rate
1997,21/12/2016,13/01/2017,1,183,Double ,109,akron,,ohio,Booking.com
1998,21/12/2016,21/12/2016,1,53,Double ,104,Bellevue,,98004,Expedia
1999,21/12/2016,25/12/2016,1,59,Double ,208,Bellevue,,98004,Expedia
2000,21/12/2016,26/12/2016,5,395,Double ,206,Montreal,,h8y2g1,Booking.com
2001,21/12/2016,30/12/2016,2,232,King,212,,,,Best Available Rate
2003,21/12/2016,6/1/2017,2,366,Double ,209,TORTOLA,,vg1110,Booking.com
2004,21/12/2016,22/12/2016,2,112,Double ,206,Bellevue,,98004,Expedia
2509,23/01/2017,23/01/2017,3,384,Upscale King,211,Lexington,KY,40505,Best Available Rate
2006,22/12/2016,18/03/2017,4,528,Double ,209,St Augustine,,,Booking.com
2007,22/12/2016,21/01/2017,1,113,King,205,Port Richey,,34668,Booking.com
2008,22/12/2016,5/1/2017,1,92.25,Upscale King,112,Bellevue,,98004,Expedia
2010,22/12/2016,1/1/2017,2,246,Double ,109,,,,Best Available Rate
2014,22/12/2016,30/12/2016,1,59,Double ,108,Bellevue,,98004,Expedia
2015,22/12/2016,31/12/2016,1,122.25,King,107,Bellevue,,98004,Expedia
