Reservation_No,DateMade_Short,Arrive_Date_Short,Nights,TotalRate,Room Type,Room,City,State,Zip Code,Rate_Type
157,12/7/2016,12/7/2016,7,427.6,King,201,Bellevue,WA,98004,Best Available Rate
4955,24/07/2017,24/07/2017,1,78,King,204,Ormond,Fl,32174,Best Available Rate
167,14/07/2016,7/8/2016,1,89,King,103,Mill Valley,CA,94941,Best Available Rate
169,14/07/2016,17/07/2016,1,150, , ,Naples,Fl,34109,Best Available Rate
173,14/07/2016,15/07/2016,2,160,Double ,109,Venice,Fl,34292,Best Available Rate
175,14/07/2016,2/8/2016,1,66,Double ,106,,,,Best Available Rate
176,15/07/2016,18/07/2016,4,323,Double ,109,Covington,GA,30014,Best Available Rate
177,15/07/2016,25/07/2016,2,246,Double ,109,Doral,FL,33178,Best Available Rate
180,15/07/2016,22/07/2016,1,113,Double ,101,Saint Petersburg,FL,33711,Best Available Rate
181,15/07/2016,22/07/2016,2,226,Upscale King,112,West Palm Beach,FL,33412,Best Available Rate
1540,3/11/2016,3/11/2016,1,78,King,201,TAMPA,Fl,33615,Best Available Rate
3620,3/4/2017,8/4/2017,1,133,Rubideaux Condo,Rub #4,,,,Best Available Rate
185,16/07/2016,29/07/2016,3,230,King,207,,,,Best Available Rate
193,16/07/2016,19/07/2016,7,715,King,201,Bellevue,WA,98004,Best Available Rate
198,17/07/2016,18/07/2016,1,67.5,Premier King,105,Eielson Air Force Base,Alaska,99702,Best Available Rate
191,16/07/2016,16/07/2016,1,84,Double ,210,Port Richey,Fl,34668,Best Available Rate
194,16/07/2016,17/07/2016,1,70,Double ,108,Estero,FL,33928,Best Available Rate
196,17/07/2016,31/07/2016,1,74,King,103,Tampa,Fl,33635,Best Available Rate
202,17/07/2016,24/07/2016,1,113,Double ,101,Clearwater,Florida,33761,Best Available Rate
204,17/07/2016,11/8/2016,1,69,Double ,104,Alcala De Henares,,28807,Best Available Rate
206,17/07/2016,27/07/2016,3,273,King,205,Puerto Plata,Dominican Republic,,Best Available Rate
208,18/07/2016,18/07/2016,1,81,Upscale Jacuzzi King,111,Longwood,FL,32750,Best Available Rate
209,18/07/2016,18/07/2016,1,74,Double ,206,Satelite Beach,FL,32937,Best Available Rate
210,18/07/2016,20/07/2016,7,490,Double ,206,,,,Best Available Rate
324,30/07/2016,31/07/2016,6,414,King,201,Bellevue,,98004,Best Available Rate
213,18/07/2016,20/07/2016,1,75,King,103,Bellevue,,98004,Best Available Rate
215,19/07/2016,30/07/2016,1,80,Double ,210,Bellevue,,98004,Best Available Rate
224,20/07/2016,20/07/2016,1,70,Double ,208,CONVERSE,TX,78109,Best Available Rate
13636,11/3/2019,12/3/2019,1,128,Upscale King,211,Jacksonville Beach,FL,32250,Best Available Rate
823,7/9/2016,7/9/2016,1,82,Sweetheart King,102,Zephyrhills,FL,33543,Best Available Rate
220,19/07/2016,19/07/2016,1,70,Double ,108,Orlando,FL,32839,Best Available Rate
221,20/07/2016,20/07/2016,1,70,Premier King,105,Stuttgart,,70195,Best Available Rate
275,27/07/2016,28/07/2016,1,70,Double ,210,Bradenton,FL,34205,Best Available Rate
226,20/07/2016,20/07/2016,1,70,Double ,108,Hollywood,,33021,Best Available Rate
228,20/07/2016,20/07/2016,1,70,Double ,104,Bellevue,,98004,Best Available Rate
229,21/07/2016,20/10/2016,3,250,Double ,109,Fort Myers,FL,33916,Best Available Rate
232,21/07/2016,21/07/2016,1,70,Double ,208,San Jose,CA,95111,Best Available Rate
233,21/07/2016,22/07/2016,2,173.4,King,103,New rochelle,,Ny,Best Available Rate
646,24/08/2016,25/08/2016,1,0,Premier King,110,east haven,,6512,Best Available Rate
257,25/07/2016,25/07/2016,1,94,King,205,edinburgh,,eh35pr,Best Available Rate
