reservation_date,Predicted
12/1/20,7.714096069
12/2/20,8.328201294
12/3/20,8.356643677
12/4/20,10.37016296
12/5/20,11.63978577
12/6/20,6.069229126
12/7/20,5.094558716
12/8/20,6.216995239
12/9/20,6.831130981
12/10/20,6.859573364
12/11/20,8.873062134
12/12/20,10.14271545
12/13/20,4.572158813
12/14/20,2.160354614
12/15/20,3.282791138
12/16/20,3.896896362
12/17/20,3.925338745
12/18/20,5.938858032
12/19/20,7.208480835
12/20/20,1.637924194
12/21/20,9.384597778
12/22/20,10.5070343
12/23/20,11.12113953
12/24/20,11.14958191
12/25/20,13.1631012
12/26/20,14.432724
12/27/20,8.862167358
12/28/20,12.78296203
12/29/20,12.782962030.3676
12/30/20,12.782962030.9817
12/31/20,12.782962031.0101
