,avg_daily_rate,booking_date,rate_type,reservation_date,reservation_date_short,reservation_no,reservation_weekday,room_no,room_type,total_nights,total_rate,Room Count,Month,Week,Quarter,Season
78,58.0,2017-11-22,Expedia,2017-11-22,"22, November",6378,Wednesday,205,King,1,58.0,1,11,47,4,Fall
79,58.0,2017-11-22,Expedia,2017-11-22,"22, November",6380,Wednesday,208,Double ,1,58.0,1,11,47,4,Fall
80,58.0,2017-11-22,Expedia,2017-11-22,"22, November",6383,Wednesday,210,Double ,1,58.0,1,11,47,4,Fall
81,58.0,2017-11-27,Best Available Rate,2017-11-27,"27, November",6441,Monday,103,King,1,58.0,1,11,48,4,Fall
82,58.0,2017-11-28,Expedia,2017-11-28,"28, November",6445,Tuesday,109,Double ,1,58.0,1,11,48,4,Fall
83,58.0,2017-11-28,Expedia,2017-11-28,"28, November",6447,Tuesday,202,King,1,58.0,1,11,48,4,Fall
84,58.0,2017-12-03,Expedia,2017-12-04,"04, December",6516,Monday,101,Double ,1,58.0,1,12,49,4,Winter
85,58.0,2017-12-04,Expedia,2017-12-04,"04, December",6519,Monday,108,Double ,1,58.0,1,12,49,4,Winter
86,58.0,2017-12-23,Expedia,2017-12-23,"23, December",6710,Saturday,210,Double ,2,116.0,1,12,51,4,Winter
87,58.0,2017-12-23,Expedia,2017-12-24,"24, December",6710,Sunday,210,Double ,2,116.0,1,12,51,4,Winter
88,58.0,2017-12-27,Expedia,2017-12-27,"27, December",6750,Wednesday,204,King,1,58.0,1,12,52,4,Winter
89,58.0,2018-01-01,Expedia,2018-01-01,"01, January",6821,Monday,105,Premier King,1,58.0,1,1,1,1,Winter
90,58.0,2018-01-16,Expedia,2018-01-16,"16, January",7069,Tuesday,202,King,1,58.0,1,1,3,1,Winter
91,58.0,2018-01-16,Expedia,2018-01-16,"16, January",7070,Tuesday,109,Double ,1,58.0,1,1,3,1,Winter
92,58.0,2018-01-16,Expedia,2018-01-17,"17, January",7072,Wednesday,204,King,1,58.0,1,1,3,1,Winter
93,58.0,2018-01-16,Expedia,2018-01-16,"16, January",7074,Tuesday,105,Premier King,1,58.0,1,1,3,1,Winter
94,58.0,2018-01-22,Expedia,2018-01-22,"22, January",7191,Monday,201,King,1,58.0,1,1,4,1,Winter
95,58.0,2018-01-23,Expedia,2018-01-23,"23, January",7202,Tuesday,201,King,1,58.0,1,1,4,1,Winter
96,58.0,2018-01-23,Expedia,2018-01-24,"24, January",7208,Wednesday,108,Double ,1,58.0,1,1,4,1,Winter
97,58.0,2018-01-23,Expedia,2018-01-23,"23, January",7209,Tuesday,103,King,1,58.0,1,1,4,1,Winter
98,58.0,2018-01-23,Expedia,2018-01-24,"24, January",7213,Wednesday,203,King,1,58.0,1,1,4,1,Winter
99,58.0,2018-01-23,Expedia,2018-01-23,"23, January",7215,Tuesday,102,Sweetheart King,1,58.0,1,1,4,1,Winter
100,58.0,2018-01-24,Expedia,2018-01-24,"24, January",7225,Wednesday,201,King,2,116.0,1,1,4,1,Winter
101,58.0,2018-01-24,Expedia,2018-01-25,"25, January",7225,Thursday,201,King,2,116.0,1,1,4,1,Winter
102,58.0,2018-01-24,Expedia,2018-01-25,"25, January",7241,Thursday,107,King,1,58.0,1,1,4,1,Winter
103,58.0,2018-04-30,Expedia,2018-05-01,"01, May",8880,Tuesday,101,Double ,1,58.0,1,5,18,2,Spring
104,58.0,2018-04-30,Expedia,2018-05-02,"02, May",8883,Wednesday,108,Double ,1,58.0,1,5,18,2,Spring
105,58.0,2018-04-30,Expedia,2018-04-30,"30, April",8887,Monday,212,King,4,232.0,1,4,18,2,Spring
106,58.0,2018-04-30,Expedia,2018-05-01,"01, May",8887,Tuesday,212,King,4,232.0,1,5,18,2,Spring
107,58.0,2018-04-30,Expedia,2018-05-02,"02, May",8887,Wednesday,212,King,4,232.0,1,5,18,2,Spring
108,58.0,2018-04-30,Expedia,2018-05-03,"03, May",8887,Thursday,212,King,4,232.0,1,5,18,2,Spring
109,58.0,2018-05-01,Expedia,2018-05-03,"03, May",8901,Thursday,204,King,1,58.0,1,5,18,2,Spring
110,58.0,2018-05-02,Expedia,2018-05-02,"02, May",8930,Wednesday,209,Double ,2,116.0,1,5,18,2,Spring
111,58.0,2018-05-02,Expedia,2018-05-03,"03, May",8930,Thursday,209,Double ,2,116.0,1,5,18,2,Spring
112,58.0,2018-05-09,Best Available Rate,2018-05-09,"09, May",8989,Wednesday,107,King,1,58.0,1,5,19,2,Spring
113,58.0,2018-05-10,Best Available Rate,2018-05-10,"10, May",9019,Thursday,201,King,1,58.0,1,5,19,2,Spring
114,58.0,2018-05-14,Expedia,2018-05-15,"15, May",9071,Tuesday,210,Double ,1,58.0,1,5,20,2,Spring
115,58.0,2018-06-27,Expedia,2018-06-28,"28, June",9444,Thursday,104,Double ,1,58.0,1,6,26,2,Summer
116,58.0,2018-07-01,Best Available Rate,2018-07-01,"01, July",9473,Sunday,203,King,1,58.0,1,7,26,3,Summer
117,58.0,2018-07-01,Best Available Rate,2018-07-01,"01, July",9478,Sunday,101,Double ,1,58.0,1,7,26,3,Summer
118,58.0,2018-07-04,Best Available Rate,2018-07-04,"04, July",9506,Wednesday,209,Double ,1,58.0,1,7,27,3,Summer
119,58.0,2018-07-04,Best Available Rate,2018-07-04,"04, July",9504,Wednesday,206,Double ,1,58.0,1,7,27,3,Summer
120,58.0,2018-07-10,Expedia,2018-07-10,"10, July",9561,Tuesday,104,Double ,1,58.0,1,7,28,3,Summer
121,58.0,2019-06-08,Best Available Rate,2019-06-09,"09, June",14662,Sunday,203,King,4,232.0,1,6,23,2,Summer
122,58.0,2019-06-08,Best Available Rate,2019-06-10,"10, June",14662,Monday,203,King,4,232.0,1,6,24,2,Summer
123,58.0,2019-06-08,Best Available Rate,2019-06-11,"11, June",14662,Tuesday,203,King,4,232.0,1,6,24,2,Summer
124,58.0,2019-06-08,Best Available Rate,2019-06-12,"12, June",14662,Wednesday,203,King,4,232.0,1,6,24,2,Summer
125,58.0,2018-07-15,Expedia,2018-07-16,"16, July",9630,Monday,205,King,1,58.0,1,7,29,3,Summer
126,58.0,2018-07-15,Expedia,2018-07-16,"16, July",9631,Monday,207,King,1,58.0,1,7,29,3,Summer
127,58.0,2018-07-16,Expedia,2018-07-16,"16, July",9635,Monday,204,King,1,58.0,1,7,29,3,Summer
128,58.0,2018-07-21,Expedia,2018-07-22,"22, July",9673,Sunday,103,King,1,58.0,1,7,29,3,Summer
129,58.0,2018-08-27,Expedia,2018-08-27,"27, August",9933,Monday,101,Double ,1,58.0,1,8,35,3,Summer
130,58.0,2018-08-31,Expedia,2018-09-04,"04, September",9971,Tuesday,204,King,2,116.0,1,9,36,3,Fall
131,58.0,2018-08-31,Expedia,2018-09-05,"05, September",9971,Wednesday,204,King,2,116.0,1,9,36,3,Fall
